ID_Error_V1_Out,ERR_RDG_M_TMatrix_ABS_CRS,ERR_RDG_M_TMatrix_SCA_CRS,ERR_RDG_M_TMatrix_ABS_CRS_Percent,ERR_RDG_M_TMatrix_SCA_CRS_Percent,created_at,updated_at,MLink
9412,-0.0014573356642393947,-0.0002468847851436108,-9.585339591829415,-22.15167886465396,2019-07-16 16:15:09,2019-07-16 16:15:09,9412
9413,-0.00036521051476042275,-4.149427076853443e-05,-14.948791052772318,-15.644649749088146,2019-07-16 16:15:09,2019-07-16 16:15:09,9413
9414,-0.0008291315530038572,-5.772672762698047e-06,-14.626314317192891,-1.3417756092192061,2019-07-16 16:15:09,2019-07-16 16:15:09,9414
9415,-0.002177240411900287,-0.0001129457789892019,-14.255328021049035,-8.57257114189232,2019-07-16 16:15:09,2019-07-16 16:15:09,9415
9416,-0.0013965449139620126,-5.4940959403463466e-05,-9.709943347156603,-4.832427688731488,2019-07-16 16:15:09,2019-07-16 16:15:09,9416
9417,-8.54766534352379e-07,2.3619439539777237e-05,-0.012862366171726383,10.299464399395372,2019-07-16 16:15:09,2019-07-16 16:15:09,9417
9418,3.839221223695455e-05,-3.955281075225424e-05,0.6084560915499375,-19.758144570529826,2019-07-16 16:15:09,2019-07-16 16:15:09,9418
9419,-0.00037330543510740035,2.2424926419643928e-05,-3.196765564000488,6.554105014970779,2019-07-16 16:15:09,2019-07-16 16:15:09,9419
9420,-0.0023401818130218753,-0.0003476065910367342,-13.332346846041517,-11.022724710985525,2019-07-16 16:15:09,2019-07-16 16:15:09,9420
9421,-0.0017921075307299865,-6.116760014971701e-05,-15.617850785353287,-4.614331484165749,2019-07-16 16:15:09,2019-07-16 16:15:09,9421
9422,-0.0014759538527837615,7.927536698456145e-06,-9.132484460875386,0.8375925256988102,2019-07-16 16:15:09,2019-07-16 16:15:09,9422
9423,5.130436875541521e-05,-1.3103268450083257e-05,1.5700874596317507,-30.66800781872152,2019-07-16 16:15:09,2019-07-16 16:15:09,9423
9424,-0.00011069135951213874,-2.5622278636185053e-06,-3.289946315112075,-5.4486349959257065,2019-07-16 16:15:09,2019-07-16 16:15:09,9424
9425,-0.001040310426776948,-8.871152777895154e-05,-11.852412319539399,-7.914602896837154,2019-07-16 16:15:09,2019-07-16 16:15:09,9425
