ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
75,0.003518652830001273,9.092173111942251e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,75
76,0.0032407435312532345,0.0001348441928650751,2019-07-16 06:10:03,2019-07-16 06:10:03,76
77,0.003057847064596291,0.00010460707076993784,2019-07-16 06:10:03,2019-07-16 06:10:03,77
78,0.005461361324065666,0.0001729082637794181,2019-07-16 06:10:03,2019-07-16 06:10:03,78
79,0.0013456890430436548,1.6386699933964803e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,79
80,0.02060577306327781,0.0018875357300867522,2019-07-16 06:10:03,2019-07-16 06:10:03,80
81,0.00092765822643107,9.000630826545143e-06,2019-07-16 06:10:03,2019-07-16 06:10:03,81
82,0.008348753500816883,0.0005745255162952676,2019-07-16 06:10:03,2019-07-16 06:10:03,82
83,0.010043733945196366,0.0006202260560717963,2019-07-16 06:10:03,2019-07-16 06:10:03,83
84,0.0024685833444758358,6.183501314524973e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,84
85,0.0023192141773590563,4.40010390368372e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,85
86,0.0046338643229367265,0.00016790640127687254,2019-07-16 06:10:03,2019-07-16 06:10:03,86
87,0.01407259449115739,0.0006283816432081254,2019-07-16 06:10:03,2019-07-16 06:10:03,87
88,0.0011603548271183573,1.5896869082258333e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,88
89,0.0008452793700889467,2.50661951090173e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,89
90,0.0010151830649050317,7.730032009201618e-06,2019-07-16 06:10:03,2019-07-16 06:10:03,90
91,0.0005794505678955734,8.104180216958651e-06,2019-07-16 06:10:03,2019-07-16 06:10:03,91
92,0.0020551433679522756,4.620855955101074e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,92
93,0.008678389826976076,0.0006313201586217755,2019-07-16 06:10:03,2019-07-16 06:10:03,93
